	name	explicit	artists	album_name	key	mode	time_signature	genre	duration_ms	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
13214	Resurrection	False	Kahtmayan	Resurrection 1	4	0.0	4.0	iranian	0.0620646213312554	0.0227272727272727	0.570565386275356	0.9699993939877584	0.8710273986371038	0.0608896718784408	0.0002590361445783	0.00033	0.0513029315960912	0.1517587939698492	0.4716697423279338
13215	Nación Nueva	False	Newen Afrobeat	Newen Afrobeat	1	1.0	4.0	afrobeat	0.1362570254631719	0.2159090909090909	0.6633577902460078	0.749994949897988	0.8015156692865902	0.0288482713058797	0.0175702811244979	0.231	0.1205211726384365	0.7085427135678392	0.5501385361955384
13216	Pestiferous Posse	False	Sodom	Bombenhagel	4	1.0	4.0	black-metal	0.0693107471106494	0.1590909090909091	0.3202416918429002	0.9849996969938792	0.8394275031660201	0.0723408940761946	0.0006937751004016	0.175	0.0960912052117263	0.1206030150753768	0.3975226468562535
13217	Avalanche	False	Monolake	Silence	10	0.0	3.0	idm	0.0896473252862027	0.125	0.3482952093223996	0.5119901422008725	0.6140470782157719	0.0288482713058797	0.0527108433734939	0.82	0.1103420195439739	0.3055276381909547	0.3965868046245327
13218	Timidez	False	Biquini Cavadão	Ao Vivo	4	1.0	4.0	brazil	0.060134646883717	0.5340909090909091	0.4195079844626673	0.8849976769530744	0.8191046696283194	0.064743448579608	0.0813253012048192	0.0	0.7760586319218241	0.2693467336683417	0.5210170186590116
13219	Blaze	False	Booka Shade;Jan Blomqvist	Blaze	8	1.0	4.0	techno	0.0474833240546882	0.1477272727272727	0.659041864479931	0.6359926470514704	0.8014352624278851	0.0097996036115393	0.0115461847389558	0.631	0.0414291530944625	0.3849246231155779	0.4924948607540364
13220	Soothing Brown Waves with Vacuum Cleaner - Loopable with No Fade	False	Vacuum Cleaner White Noise;Meditation Awareness;Relaxing Zen Spa;Baby Can't Sleep;Calm Children Collection	Vacuums for Rest and Relaxation (Loopable Audio for Insomnia, Meditation, and Restless Children)	2	1.0	5.0	sleep	0.0176166584289212	0.3977272727272727	0.1227880880448856	0.8019960003192065	0.6198765754718878	0.1169345959039859	1.6265060240963854e-06	0.929	0.7322882736156353	0.022110552763819	0.4584207399462679
13221	Simon Smith and the Amazing Dancing Bear - 2002 Remaster	False	Randy Newman	Sail Away (Expanded & Remastered Edition)	2	1.0	4.0	disney	0.0254109642846164	0.2840909090909091	0.5975399223133362	0.1449827286511187	0.6006191328120289	0.0184981281656022	0.9216867469879518	2.11e-05	0.0981270358306189	0.6120603015075377	0.5967518914002408
13222	Sleep Music	False	Type.Raw;Filliboom	Loungin'	8	0.0	4.0	study	0.0276014889419856	0.1022727272727272	0.72809667673716	0.377987435346194	0.7255311878103203	0.2424576084562871	0.6214859437751004	0.303	0.1052524429967426	0.6301507537688442	0.2819724189418673
13223	Too Emotional	True	Chronic Law;Sky Bad	Too Emotional	1	1.0	5.0	j-dance	0.0347822332080512	0.3863636363636363	0.5943029779887786	0.686993677272281	0.7641867851327719	0.4703809733538868	0.3403614457831325	0.000116	0.1103420195439739	0.3738693467336683	0.4732207168130891
13224	Kyon - Lofi Flip	False	Papon;Harrlin	Kyon (Lofi Flip)	2	1.0	4.0	indian	0.0186830113944364	0.6363636363636364	0.570565386275356	0.4189882635629239	0.710012664080246	0.0143140277471922	0.4046184738955823	0.129	0.1235749185667752	0.1839195979899497	0.361965899591489
13225	Direct Drive	False	Larry Heard	Love's Arrival	4	0.0	4.0	chicago-house	0.1001093432622154	0.1136363636363636	0.8144151920586966	0.752995010499212	0.7372705891812572	0.0328121559127945	0.0002299196787148	0.873	0.0797027687296416	0.5065326633165829	0.4714699557840833
13226	Fragile	False	Corvad	Fragile	0	1.0	4.0	techno	0.0338154162777523	0.0568181818181818	0.8618903754855416	0.8449968689367525	0.7990632600960863	0.0198194230345738	0.8604417670682731	0.934	0.0865228013029316	0.3889447236180904	0.4978049767879581
13227	Sun Study	False	Loyla Lo	Sun Study	10	1.0	4.0	study	0.0176808201378964	0.0	0.9503668536901166	0.2119840820784579	0.6555571190222527	0.2358511341114292	0.7520080321285141	0.316	0.0766490228013029	0.9296482412060302	0.3926751943975647
13228	Elvi$	False	Felix Da Housecat	He Was King	0	1.0	4.0	chicago-house	0.0841045343055336	0.2386363636363636	0.523090202848511	0.8669973133457296	0.8044103161999719	0.0110107905747632	7.510040160642571e-05	0.924	0.2945846905537459	0.3005025125628141	0.5230306567193997
13229	Old Soul	False	The Daily Bred	Old Soul	7	1.0	4.0	study	0.0697742727648427	0.125	0.7863616745791973	0.2359845668882511	0.6540092869921805	0.0242237392644791	0.1767068273092369	0.927	0.0661644951140065	0.4824120603015075	0.2770671335362744
13230	Clutch	False	Power Glove	Playback	10	0.0	4.0	techno	0.0566718662860226	0.4090909090909091	0.6493310315062581	0.812996222523695	0.7996261081070216	0.0340233428760184	0.0423694779116465	0.87	0.1021986970684039	0.4341708542713567	0.4348301551500239
13231	77	False	Farzad Golpayegani	Five	11	0.0	4.0	iranian	0.0727049747036973	0.0	0.082865774708675	0.7589951317016603	0.83926668944861	0.0188284518828451	0.0630522088353413	0.0484	0.2752442996742671	0.2190954773869346	0.3460250364084688
13232	Tengo Luquita	False	Juanafé	La Makinita	6	0.0	4.0	afrobeat	0.0493679217802898	0.4772727272727273	0.5101424255502806	0.710994162082074	0.8486541902024244	0.0260955736621889	0.5873493975903614	0.0	0.0622964169381107	0.6542713567839197	0.7673275395235617
13233	Glob	False	Kenny Larkin	Keys, Strings, Tambourines	8	1.0	4.0	chicago-house	0.1064025578809363	0.0909090909090909	0.7032801035822184	0.8509969901392008	0.7575130158602529	0.0735520810394186	0.0096184738955823	0.393	0.0960912052117263	0.4562814070351759	0.4976840533535223
13234	Packard - Nora En Pure Remix	False	Oliver Schories;Jan Blomqvist;Nora En Pure	Packard (Nora En Pure Remix)	4	1.0	4.0	techno	0.0559868241612991	0.4204545454545454	0.6450151057401813	0.8259964851289996	0.7897762679156533	0.0499889892094252	0.107429718875502	0.0738	0.1500407166123778	0.2814070351758794	0.4869271252293601
13235	Braindead Lunatic	True	Nosferatu;Spitnoise	When Worlds Collide	11	0.0	4.0	happy	0.0437551140297505	0.1590909090909091	0.2900302114803626	0.960999212184086	0.9221058556294852	0.3151288262497247	0.0281124497991967	0.0	0.3678745928338762	0.185929648241206	0.91852915043401
13236	Barefoot Floors	False	The Wailin' Jennys	Down at the Sea Hotel	9	1.0	4.0	bluegrass	0.0401720607228365	0.3409090909090909	0.627751402675874	0.2209842638821304	0.6441192433714595	0.0072671217793437	0.9146586345381528	0.000158	0.1001628664495114	0.28643216080402	0.2438973097164608
13237	Acid Rush - Extended Vokal mixX	False	Mike Dunn	My House From All Angles	1	1.0	4.0	chicago-house	0.0868793452480569	0.0681818181818181	0.7917565817867933	0.896997919357971	0.7299535650390979	0.036555824708214	0.0069076305220883	0.902	0.0833672638436482	0.6321608040201006	0.4977313712191711
13238	また会ってください	False	Keyakizaka46	世界には愛しかない (Special Edition)	9	1.0	4.0	j-idol	0.0615496199333596	0.3181818181818182	0.5414328873543376	0.91799834356654	0.8780428970591191	0.0289583792116273	0.0283132530120481	0.0	0.4289495114006514	0.6994974874371859	0.4293465402753899
13239	Ewigkeit	False	Der Weg einer Freiheit	Der Weg einer Freiheit	11	1.0	4.0	black-metal	0.0986219138339963	0.1931818181818181	0.3655589123867069	0.7759954751085972	0.8201097553621324	0.0307201057035895	2.2791164658634538e-06	0.899	0.0675895765472312	0.2160804020100502	0.445008753805145
13240	Por si las Moscas	False	Melendi;Guaynaa	Likes y Cicatrices	9	1.0	4.0	spanish	0.0514106061500583	0.6818181818181818	0.7410444540353905	0.8669973133457296	0.8499406999417051	0.0426117595243338	0.1174698795180722	0.0	0.1205211726384365	0.6733668341708543	0.3241589249380924
13241	Entanglement - Raw	True	Teejay	Entanglement	10	0.0	4.0	j-dance	0.0472349718883888	0.2272727272727272	0.858653431160984	0.6959938590759532	0.834502583070336	0.0295089187403655	0.0815261044176706	9.25e-06	0.0512011400651465	0.5386934673366834	0.3924964380162247
13242	Si Estuvieras Aquí	False	Los Amigos Invisibles	Arepa 3000	9	1.0	4.0	afrobeat	0.0561532054750674	0.2954545454545454	0.6903323262839879	0.5689912936241311	0.7462761573562224	0.0082580929310724	0.6224899598393574	0.857	0.1480048859934853	0.629145728643216	0.5241189676293223
13243	前説ADvance	False	Seiko Oomori	超天獄	1	1.0	4.0	j-idol	0.0565045091287718	0.2727272727272727	0.5468277945619336	0.9479989495787814	0.8525539228496191	0.0258753578506936	0.0062550200803212	0.0	0.0565960912052117	0.5557788944723618	0.3609722244128641
13244	TKO (feat. Rye Rye & Zion I)	False	Bassnectar;Rye Rye;Zion I	Unlimited	7	1.0	4.0	breakbeat	0.0334499628935515	0.4772727272727273	0.5306430729391455	0.9949998989979596	0.8981044083060286	0.2358511341114292	0.005441767068273	0.0943	0.0837744299674267	0.450251256281407	0.3032864886463409
13245	Landing Pad	False	Beat Oven	High Again	5	1.0	5.0	study	0.0247961828906338	0.1022727272727272	0.4734570565386275	0.3099860617184466	0.6718797113393773	0.0159656463334067	0.2469879518072289	0.946	0.0940553745928338	0.3688442211055276	0.278880985052812
