name,explicit,artists,album_name,key,mode,time_signature,genre,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Escalate,False,X-RX,Activate the Machinez,9,,,industrial,0.04865214058586715,0.2840909090909091,0.5133793698748382,0.9899997979959195,0.8546445011759503,0.02136093371504074,0.0008242971887550201,0.0743,0.2996742671009772,0.5919597989949749,0.5555485455013853
Querencia,False,Cameron Sinosa,Querencia,5,0.0,3.0,sleep,0.04230476665386685,0.6477272727272727,0.12602503236944326,0.00313986342524119,0.16033127625786478,0.02136093371504074,0.9949799196787149,0.931,0.10118078175895766,0.09507537688442211,0.2136769661887562
Real Bad Man - Radio Edit,False,Beenie Man;Blakk Man,Imac Riddim,8,,5.0,j-dance,0.04229695990600676,0.011363636363636364,0.7162278808804489,0.7949958589163502,0.8521719902707701,0.2953094032151508,0.029919678714859437,2.33e-06,0.12357491856677526,0.7959798994974875,0.5433720814077591
Three Black Cats,False,CoComelon,Halloween Party,0,,3.0,disney,0.025150658035656345,0.1590909090909091,0.895338800172637,0.3949877787531308,0.7154401270428368,0.01937899141158335,0.4879518072289157,1.76e-05,0.08784609120521174,0.8884422110552764,0.5505854271488883
Dust till Dawn,False,Dusty Decks,Solid Centre,10,0.0,4.0,study,0.02750902777201759,0.5113636363636364,0.7485973241260251,0.5709913340249473,0.7961485114680282,0.10592380532922263,0.02650602409638554,0.888,0.09201954397394137,0.7135678391959799,0.31354920795150437
Beqaaboo,False,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),9,,,indian,0.04050384750689068,0.6022727272727273,0.6752265861027191,0.6629931924624878,0.810340322029469,0.03105042942083241,0.022188755020080324,0.00609,0.34548045602605865,0.5135678391959799,0.49243702780713233
Brokedown Palace 9/25: The Caverns - Live,False,Greensky Bluegrass,Courage for the Road: Fall 2019 (Live),5,,4.0,bluegrass,0.07877642889101731,0.22727272727272727,0.4324557617608978,0.33698660712946404,0.616821114841096,0.015745430521911474,0.7961847389558233,0.00148,0.9267100977198699,0.25025125628140704,0.49047596515302067
→,False,SILENT SIREN,Silent Siren Selection,9,1.0,4.0,j-idol,0.06383309368243809,0.20454545454545456,0.5058264997842037,0.8049960609204306,0.8274669829336443,0.022902444395507596,0.006104417670682732,0.0,0.2579397394136808,0.6190954773869347,0.7665757112138084
Ukon Laulu,False,Lepoka,Bibere Vivere,7,,,spanish,0.05643205275019529,0.3068181818181818,0.34505826499784203,0.9269985253702125,0.8533378897219933,0.07399251266240915,0.00036646586345381524,0.000162,0.07756514657980457,0.4814070351758794,0.78700125655221
Monday Morning Before Work,False,Kelpe,Kyverdale Road,8,1.0,4.0,idm,0.05027545621902612,0.14772727272727273,0.7593871385412171,0.15298289025438314,0.4626811667035198,0.026646113190927107,0.8604417670682731,0.952,0.09609120521172639,0.47839195979899496,0.3820391897078384
えっと干支がーる,False,夜光性アミューズ,えっと干支がーる,10,1.0,4.0,j-idol,0.04458628871598027,0.3181818181818182,0.6806214933103151,0.8979979395583791,0.8367539751140773,0.02928870292887029,0.017469879518072287,0.0,0.3169788273615635,0.8120603015075377,0.36644532420624276
Soim In Vazduh,False,Bucovina,Sub Stele,0,1.0,,black-metal,0.09655605318151811,0.22727272727272727,0.4788519637462236,0.9739994747893908,0.8354071602307677,0.06529398810834619,0.00024799196787148595,0.349,0.2447068403908795,0.23316582914572864,0.6554523325078995
Doug's Tune,False,The Dillards,Back Porch Bluegrass,3,,,bluegrass,0.028061843104860724,0.3181818181818182,0.370953819594303,0.9329986465726609,0.7440247653124813,0.030279674080598982,0.2761044176706828,0.969,0.08499592833876222,0.9819095477386934,0.5529302902688181
愛上你算我賤,False,NICKTHEREAL,REAL LIFE,6,0.0,4.0,mandopop,0.056038055944131006,0.625,0.45835131635735865,0.7379947074930914,0.8468249341668845,0.020480070469059676,0.004337349397590362,0.0,0.1449511400651466,0.35477386934673366,0.7027859707785892
never had,False,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,2,1.0,4.0,techno,0.029091601939781674,0.13636363636363635,0.37958567112645664,0.38898765755068254,0.6388726958409553,0.02103060999779784,0.8664658634538153,0.72,0.12459283387622151,0.7517587939698492,0.30992676245905687
I Love You - Love Mix,False,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0,1.0,4.0,happy,0.04798124819164005,0.011363636363636364,0.6784635304272767,0.8769975153498101,0.8382616037147969,0.027416868531160536,0.015863453815261046,0.218,0.032878664495114014,0.5145728643216081,0.5976824760913338
H.O.P.E.,False,Hozho,"Singles Collection, Vol. 1",4,,4.0,techno,0.13382278389604535,0.375,0.7108329736728528,0.4739893745853666,0.7010674010493096,0.03171107685531821,0.06666666666666667,0.745,0.08978013029315962,0.084321608040201,0.5084252088558013
Pal - Lofi Flip,False,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),7,0.0,4.0,indian,0.05902877225716013,0.6477272727272727,0.607250755287009,0.5999919198367807,0.782539650632199,0.020810394186302577,0.1927710843373494,0.046,0.16734527687296416,0.23115577889447236,0.4711913061308181
Meu Vício É Você,False,Zezo,Zezo (O Príncipe dos Teclados),1,0.0,4.0,forro,0.030169665027086977,0.0,0.774492878722486,0.855997091141241,0.8895209761392647,0.0040739925126624076,0.535140562248996,0.0,0.09507328990228013,0.7165829145728643,0.42450434535732867
Get Get Down - Original Mix,False,Paul Johnson,"Best Of Moody Recordings, Vol. 1",5,0.0,4.0,chicago-house,0.12948442773366695,0.09090909090909091,0.9201553733275788,0.9179983435665401,0.7749211007698956,0.06727593041180358,0.0001465863453815261,0.845,0.10627035830618894,0.5125628140703518,0.5080414083899834
Battle Cry,True,Kraff Gad,Battle Cry,7,1.0,4.0,j-dance,0.03756021564189276,0.0,0.8780750971083298,0.48698963719067123,0.7513819928839931,0.10151948909931734,0.23192771084337352,0.0,0.07695439739413681,0.20502512562814068,0.3668817000783373
Wir Ziehen Heut Abend Auf's Dach,False,Jürgen Drews,Musik Box Teil 1,7,0.0,,happy,0.046124705966160674,0.29545454545454547,0.6234354769097972,0.9249984849693964,0.8241703017267373,0.05868751376348822,0.6295180722891567,3.66e-06,0.49002442996742673,0.8030150753768844,0.49283660089483344
Despot,False,Windir,Likferd,2,0.0,4.0,black-metal,0.0830833141010847,0.20454545454545456,0.28571428571428575,0.6229923844461658,0.8200896536474562,0.033362695441532704,1.2148594377510041e-06,0.935,0.21620521172638438,0.192964824120603,0.31402764414862017
